"Reference","Value","Footprint","Qty","Description P/N","Product Name","Purpose","Replacement","DNP"
"C1,C2,C8,C9,C12,C13,C22,C26,C27","100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","9","","","","",""
"C3,C4,C10,C24,C25,C28,C29","56p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","7","","","","",""
"C5,C11","30p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","","","",""
"C6,C7,C15","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","3","","","","",""
"C14","4.7u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","","","",""
"C16,C17,C18","10u","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","3","","","","",""
"C19","100u","Capacitor_Tantalum_SMD:CP_EIA-3528-21_Kemet-B_HandSolder","1","","","","",""
"C20,C21","2.2u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","","","",""
"D1","~","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","CAN interface","SIT65HVD232DR","","",""
"D2","~","Package_TO_SOT_SMD:SOT-23","1","Dual Line CAN Bus Protector, 24Vrwm","PESD2CAN","","",""
"D3","~","Diode_SMD:D_SOD-323_HandSoldering","1","Diode","BAS416","","",""
"D4","~","LED_SMD:LED_0805_2012Metric","1","LED","FYLS-0805UYC","","",""
"D5","~","Diode_SMD:D_SMA","1","Diode","MBRA320","","",""
"D6","~","LED_SMD:LED_0805_2012Metric","1","LED","FYLS-0805UBC","","",""
"D7","~","LED_SMD:LED_0805_2012Metric","1","LED","FYLS-0805PGC","","",""
"J1","~","Wire_my:Wire_1.5mm","1","","","CAN","","DNP"
"J2","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","Connector","PLS-4","SWD","DS-1021-1x4",""
"J3","~","Wire_my:Wire_1.5mm","1","","","PWR","","DNP"
"J4","~","Wire_my:Wire_1.5mm x 4","1","","","PT1","","DNP"
"J5","~","Wire_my:Wire_1.5mm x 4","1","","","PT2","","DNP"
"L1","47u","Inductor_SMD:L_1812_4532Metric_Pad1.30x3.40mm_HandSolder","1","","NLC453232T-470K-PF","","",""
"R1,R2,R5,R6,R8,R10,R11,R12,R15,R16,R17,R18","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12","","","","",""
"R3,R13,R14","120","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3","","","","",""
"R4","750","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","","","",""
"R7,R9","160","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","","","",""
"U1","~","Package_QFP:LQFP-64_10x10mm_P0.5mm","1","","APM32F405RGT6","","",""
"U2","~","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","","LM2594HVM-3.3","","",""
"U5","~","Package_SO:SO-8_3.9x4.9mm_P1.27mm","1","","LM158DR","","",""
"Y1","~","Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm","1","Crystal","X322516MOB4SI","","",""
